station_id,name,lat,lon
406,Parkmoor Ave at Race St,37.3167,-121.9097
407,Bird Ave at Coe Ave,37.3151,-121.8978
409,2100 Powell St,37.8395,-122.2987
410,Illinois St at Cesar Chavez St,37.7501,-122.3865
411,Octavia Blvd at Page St,37.7742,-122.4238
412,Glen Park BART Station,37.7329,-122.4342
413,Balboa Park BART Station,37.7206,-122.4477
415,Delmas Ave at Virginia St,37.3198,-121.893
416,Auzerais Ave at Los Gatos Creek Trail,37.3212,-121.9033
417,Park Ave at Race St,37.326,-121.9124
418,17th St at Santa Clara St,37.344,-121.8745
419,Fern St at Polk St,37.7881,-122.4205
421,23rd St at Taylor St,37.3601,-121.8789
422,Stockton Ave at Lenzen Ave,37.3368,-121.9091
423,South San Jose State (7th St at Humboldt St),37.3203,-121.8701
424,Greenwich St at Webster St,37.7992,-122.4342
425,Bird Ave at Willow St,37.3113,-121.8963
426,San Carlos St at Meridian Ave,37.3233,-121.9135
427,Auzerais Ave at Lincoln Ave,37.321,-121.9081
431,Judson Ave at Gennessee St,37.7283,-122.4503
432,Quesada Ave at 3rd St,37.7331,-122.3909
433,Gennessee St at Monterey Blvd,37.7318,-122.4512
434,Carroll Ave at 3rd St,37.7254,-122.394
435,Jennings St at Revere Ave,37.7294,-122.3865
436,McKinnon Ave at 3rd St,37.7362,-122.3898
437,Evans Ave at Mendell St,37.74,-122.3835
438,Oakdale Ave at Phelps St,37.737,-122.3945
439,Post St at Divisadero St,37.7844,-122.4393
440,Carl St at Cole St,37.7659,-122.4493
441,Chestnut St at Van Ness Ave,37.8023,-122.4244
442,Newbury Park Dr at King Rd,37.3656,-121.8678
443,3rd St at Keyes St,37.321,-121.8764
444,Mercado Way at Sierra Rd,37.3712,-121.8813
445,Natoma St at New Montgomery St,37.7868,-122.4
446,Mint St at Mission St,37.7824,-122.4074
449,16th Depot Bike Fleet Station,37.7663,-122.3961
450,Funston Ave at Irving St,37.764,-122.4707
451,10th Ave at Irving St,37.7642,-122.4674
453,Brannan St at 4th St,37.7778,-122.397
454,7th Ave at Cabrillo St,37.7752,-122.465
455,McAllister St at Arguello Blvd,37.7753,-122.4581
456,Arguello Blvd at Geary Blvd,37.7816,-122.4588
457,7th Ave at Irving St,37.7636,-122.4641
458,Frederick St at Arguello Blvd,37.7658,-122.4576
459,Utah St at 24th St,37.7533,-122.4055
460,Terry Francois Blvd at Warriors Way,37.7695,-122.3863
461,Terry Francois Blvd at Mission Bay Blvd N,37.7718,-122.3867
462,Cruise Terminal at Pier 27,37.8046,-122.402
463,Heron's Head Park,37.7406,-122.3764
465,San Francisco Caltrain Station (King St at 4th St),37.7763,-122.3945
466,5th Ave at Anza St,37.7797,-122.4632
467,Brannan St at Colin P Kelly Jr St,37.7822,-122.3917
468,Grove St at Gough St,37.7779,-122.423
469,Ellis St at Pierce St,37.782,-122.4356
470,N 14th St at E Santa Clara St,37.3427,-121.8774
471,Turk Blvd at Stanyan St,37.7776,-122.4546
472,Columbia Ave at Bird Ave,37.3242,-121.8995
473,Willow St at Blewett Ave,37.309,-121.9
474,14th Ave at Geary Blvd,37.7803,-122.4728
475,22nd St at William St,37.34,-121.8637
476,19th St at William St,37.3387,-121.8667
477,17th Ave at Geary Blvd,37.7808,-122.4762
478,Greenwich St at Franklin St,37.8003,-122.4257
480,Steiner St at California St,37.7885,-122.4354
481,O'Farrell St at Masonic Ave,37.7812,-122.4472
482,Brannan St at 7th St,37.7727,-122.4036
483,7th St at King St,37.7714,-122.401
485,Funston Ave at Fulton St,37.7736,-122.4713
486,Arguello Blvd at Edward St,37.7786,-122.4586
487,Powell St at Columbus Ave,37.8004,-122.4109
488,Egbert Ave at Jennings St,37.7226,-122.3925
489,Funston Ave at Clement St,37.7823,-122.472
490,9th Ave at Geary Blvd,37.7818,-122.4676
491,Devine St at San Pedro St,37.3387,-121.8958
492,Webster St at Clay St,37.7905,-122.4325
493,Folsom St at 7th St,37.7765,-122.408
494,Park Ave at Laurel Grove Ln,37.3263,-121.9051
495,St James St at 9th St,37.343,-121.8845
496,Green St at Van Ness St,37.7976,-122.4235
498,Frida Kahlo Way at Cloud Cir,37.726,-122.4524
499,Otis St at Brady St,37.7722,-122.4197
500,Battery St at Filbert St,37.8017,-122.4018
506,7th Ave at Clement St,37.7824,-122.4655
508,St. Joseph's Ave at Geary Blvd,37.7825,-122.4424
509,Evans Ave at Newhall St,37.7423,-122.3869
510,Post St at Webster St,37.7854,-122.4317
511,Anza St at Collins St,37.7807,-122.4504
512,Divisadero St at Clay St,37.7897,-122.4407
513,Alameda St at Henry Adams St,37.7686,-122.404
514,Laurel St at California St,37.7867,-122.4501
515,18th Ave at California St,37.7851,-122.4776
516,Clement St at 32nd Ave,37.7817,-122.4929
517,Spruce St at California St,37.7866,-122.4534
518,22nd St at Potrero Ave,37.7569,-122.406
520,23rd Ave at Clement St,37.7819,-122.4828
521,48th Ave at Cabrillo St,37.7729,-122.5091
